topic,entry_count,link
football manager 2022,11,https://eksisozluk.com/football-manager-2022--3474736?a=popular
birine verilip uzun süre geri alınamayan şeyler,20,https://eksisozluk.com/birine-verilip-uzun-sure-geri-alinamayan-seyler--6176710?a=popular
kötü günlerde kişiye güç veren sözler,34,https://eksisozluk.com/kotu-gunlerde-kisiye-guc-veren-sozler--5154308?a=popular
dexter new blood,11,https://eksisozluk.com/dexter-new-blood--6985683?a=popular
hayatından kolayca insan silebilmek,30,https://eksisozluk.com/hayatindan-kolayca-insan-silebilmek--6366138?a=popular
kişinin kendine en çok kızdığı an,16,https://eksisozluk.com/kisinin-kendine-en-cok-kizdigi-an--5272609?a=popular
insanın kendini en yalnız hissettiği an,32,https://eksisozluk.com/insanin-kendini-en-yalniz-hissettigi-an--4145464?a=popular
2021 ekonomik krizi,16,https://eksisozluk.com/2021-ekonomik-krizi--4628437?a=popular
müge anlı ile tatlı sert,14,https://eksisozluk.com/muge-anli-ile-tatli-sert--1936750?a=popular
lodos,11,https://eksisozluk.com/lodos--51720?a=popular
depresyondan çıkma yöntemleri,11,https://eksisozluk.com/depresyondan-cikma-yontemleri--1870303?a=popular
covid-19,14,https://eksisozluk.com/covid-19--6362411?a=popular
halil ibrahim dervişoğlu,30,https://eksisozluk.com/halil-ibrahim-dervisoglu--5723513?a=popular
kübra ekin'in iki haftadır kayıp olması,16,https://eksisozluk.com/kubra-ekinin-iki-haftadir-kayip-olmasi--7094731?a=popular
28 kasım 2021 mustafa cengiz'in vefat etmesi,27,https://eksisozluk.com/28-kasim-2021-mustafa-cengizin-vefat-etmesi--7095393?a=popular
bir erkekle bir kız gerçekten arkadaş olabilir mi,27,https://eksisozluk.com/bir-erkekle-bir-kiz-gercekten-arkadas-olabilir-mi--280689?a=popular
kimsenin sizi gerçekten tanımaması,19,https://eksisozluk.com/kimsenin-sizi-gercekten-tanimamasi--5593753?a=popular
insan ilişkilerinden çıkarılmış en önemli ders,11,https://eksisozluk.com/insan-iliskilerinden-cikarilmis-en-onemli-ders--6140382?a=popular
bugün özlenen kişiye birkaç satır bırak,11,https://eksisozluk.com/bugun-ozlenen-kisiye-birkac-satir-birak--6526060?a=popular
hesabı ödesin diye sevgilisine para veren kız,22,https://eksisozluk.com/hesabi-odesin-diye-sevgilisine-para-veren-kiz--3750270?a=popular
pasaport basılamama sorunsalı,11,https://eksisozluk.com/pasaport-basilamama-sorunsali--7031896?a=popular
yemeksepeti hackerlarının 20bin veriyi paylaşması,17,https://eksisozluk.com/yemeksepeti-hackerlarinin-20bin-veriyi-paylasmasi--7094565?a=popular
barış alper yılmaz,32,https://eksisozluk.com/baris-alper-yilmaz--6829125?a=popular
kestane balının diyarından tüm dünyaya selamlar,24,https://eksisozluk.com/kestane-balinin-diyarindan-tum-dunyaya-selamlar--7093987?a=popular
lise mezunu bir erkekle evlenmek,23,https://eksisozluk.com/lise-mezunu-bir-erkekle-evlenmek--4553898?a=popular
fenerbahçe,20,https://eksisozluk.com/fenerbahce--33409?a=popular
geceye bir şiir bırak,27,https://eksisozluk.com/geceye-bir-siir-birak--4945041?a=popular
doktor olacaklara tavsiyeler,21,https://eksisozluk.com/doktor-olacaklara-tavsiyeler--6322270?a=popular
afgan ekonomisinin ayağa kaldırılması gerekiyor,26,https://eksisozluk.com/afgan-ekonomisinin-ayaga-kaldirilmasi-gerekiyor--7095398?a=popular
parfüm olup şişelense satın alınabilecek kokular,21,https://eksisozluk.com/parfum-olup-siselense-satin-alinabilecek-kokular--1987718?a=popular
durup dururken ben ayrılmak istiyorum diyen insan,23,https://eksisozluk.com/durup-dururken-ben-ayrilmak-istiyorum-diyen-insan--7095318?a=popular
şu an hissedilen duygu,10,https://eksisozluk.com/su-an-hissedilen-duygu--5746438?a=popular
28 kasım 2021 türkiye büyük britanya maçı,12,https://eksisozluk.com/28-kasim-2021-turkiye-buyuk-britanya-maci--7094838?a=popular
doktorların hastalara sen diye hitap etmeleri,19,https://eksisozluk.com/doktorlarin-hastalara-sen-diye-hitap-etmeleri--1220788?a=popular
asansörün parfüm kokması,11,https://eksisozluk.com/asansorun-parfum-kokmasi--332323?a=popular
çok güzel bir kadın olmak,21,https://eksisozluk.com/cok-guzel-bir-kadin-olmak--1503969?a=popular
yılmaz güney,17,https://eksisozluk.com/yilmaz-guney--37559?a=popular
erlik,10,https://eksisozluk.com/erlik--80025?a=popular
şiddetten koruyan kuryeye karışma diyen kadın,18,https://eksisozluk.com/siddetten-koruyan-kuryeye-karisma-diyen-kadin--7095451?a=popular
kestane balının diyarı zonguldak,11,https://eksisozluk.com/kestane-balinin-diyari-zonguldak--7095471?a=popular
28 kasım 2021 chelsea manchester united maçı,33,https://eksisozluk.com/28-kasim-2021-chelsea-manchester-united-maci--7089670?a=popular
2021 dünya satranç şampiyonası,11,https://eksisozluk.com/2021-dunya-satranc-sampiyonasi--6812664?a=popular
binlerce işsiz mühendis varken mühendislik okumak,13,https://eksisozluk.com/binlerce-issiz-muhendis-varken-muhendislik-okumak--7095461?a=popular
29 kasım 2021 israil tarafından atılan tweet,15,https://eksisozluk.com/29-kasim-2021-israil-tarafindan-atilan-tweet--7095684?a=popular
seni seviyorum demenin alternatif yolları,16,https://eksisozluk.com/seni-seviyorum-demenin-alternatif-yollari--736482?a=popular
enes kanter freedom,13,https://eksisozluk.com/enes-kanter-freedom--7095371?a=popular
kaftancıoğlu beni rahatsız ediyor,10,https://eksisozluk.com/kaftancioglu-beni-rahatsiz-ediyor--7095679?a=popular
parmak kaldırmayan öğrenciyi seçen öğretmen,10,https://eksisozluk.com/parmak-kaldirmayan-ogrenciyi-secen-ogretmen--1987680?a=popular
boy uzunluğu ile ego arasındaki ters orantı,13,https://eksisozluk.com/boy-uzunlugu-ile-ego-arasindaki-ters-oranti--7095749?a=popular
vücut geliştirmek yerine beyin geliştirmek,15,https://eksisozluk.com/vucut-gelistirmek-yerine-beyin-gelistirmek--7095098?a=popular
